id,created_at,text
1176498752544284672,2019-09-24 14:08:55,"b'@dhabonajob Exhibit, sell and Network \n#UgTradeFair19'"
1176498676279271432,2019-09-24 14:08:37,b'RT @dhabonajob: The #UgTradeFair19 is just a few days away taking place at UMA Show Grounds from 2nd/October to 10th/October. Come and enjo\xe2\x80\xa6'
1176498646638088193,2019-09-24 14:08:30,b'@dhabonajob UMA is the only place to be \n#UgTradeFair19'
1176498556762492929,2019-09-24 14:08:08,"b'RT @dhabonajob: Come through for the  #UgTradeFair19 and network, sell and exhibit your products at UMA show grounds from 2nd/Oct to 10th/O\xe2\x80\xa6'"
1176472435945816064,2019-09-24 12:24:21,"b""We're left with just 4 days to the biggest #UgFifaMaestro in town. Make a group of 5 gamers &amp; register with\xe2\x80\xa6 https://t.co/pZIzT20YsT"""
1176470853560786944,2019-09-24 12:18:03,"b""Van Dijk deserved that Men's Best Football Award. https://t.co/wBJFtPeoqv"""
1176470504221421568,2019-09-24 12:16:40,"b'A good evening to all the thick girls, have a blessed and awesome day.'"
1176469990578511874,2019-09-24 12:14:38,"b'RT @Fact: Taylor Swift wrote a novel called ""A Girl Named Girl"" when she was 14. It is currently unpublished and in the care of her parents.'"
1176469158407618560,2019-09-24 12:11:19,"b'Call her to your crib, undress &amp; romance her to the fullest then when she starts vibrating like a generator tell he\xe2\x80\xa6 https://t.co/BiG0fA2GF6'"
1176466435113136128,2019-09-24 12:00:30,b'The politics in football \xf0\x9f\x98\xa9 https://t.co/7OFPGF3HuI'
1176465930790027264,2019-09-24 11:58:30,"b'RT @JoelOsteen: We\xe2\x80\x99ve all had bad breaks. We all can find a reason to live bitter, offended. But if you\xe2\x80\x99ll refuse to settle, then on the ot\xe2\x80\xa6'"
1176465893628530690,2019-09-24 11:58:21,"b""RT @Fact: Chewing gum has been proven to increase a person's focus and improve their mood, while decreasing anxiety and stress."""
1176465711927050242,2019-09-24 11:57:38,b'RT @nollie_gloria: Yet they still fall out of love faster than girls... https://t.co/qUKE6z8zDO'
1176465664976072706,2019-09-24 11:57:26,"b'RT @kall_essy: Wet lips along her ear,  neck, slowly down her  spine and then ending up between her legs.Ah the insane power of running you\xe2\x80\xa6'"
1176465546734428161,2019-09-24 11:56:58,"b'RT @cathie_umuton: If you walked away from atoxic, negative, abusive, one-sided, relationship or friendship..\xe2\x80\xa6'"
1176465386210025472,2019-09-24 11:56:20,b'RT @Jhowie_ug: This is what the cashier at kfc sees while bagging up my order https://t.co/nfFQ68AhAx'
1176465279943151616,2019-09-24 11:55:55,"b""RT @classmonitorUG: Always saving my sidechik's numbers in conc baganda names even if she called Natasha Olga, I'll save her as Nabiwemba t\xe2\x80\xa6"""
1176464894167830528,2019-09-24 11:54:23,"b""RT @rawemah: There is one thing some people don't want to accept ..the fact that your life is nobody's concern once you able to differentia\xe2\x80\xa6"""
1176464832616378368,2019-09-24 11:54:08,b'RT @TheBibah: When you can\xe2\x80\x99t move on from your ex\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/WGdqzHqwsu'
1176464576055001088,2019-09-24 11:53:07,b'RT @JhusBLaze: Give happiness a chance'
1176463882765983744,2019-09-24 11:50:21,"b""RT @cathie_umuton: Friends that get angrier about situations you're in than you do&gt;&gt;&gt;"""
1176463722598019072,2019-09-24 11:49:43,b'RT @nyaikae: Halloween is the only time you can wear a wedding dress and not look desperate. join the #SoireeHalloweenParty at Mango Groove\xe2\x80\xa6'
1176463672987832320,2019-09-24 11:49:31,"b""RT @howardjeff10: Still haven't watched KOFA yet? It's still being screened at Century Cinemax Acacia Mall till 26th September. Don't miss\xe2\x80\xa6"""
1176463485020119041,2019-09-24 11:48:47,b'RT @igs_gre_inno: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/EmlbX63kl0'
1176463230341976064,2019-09-24 11:47:46,b'RT @Kevin_Musoke_: But when it came to exams...\xf0\x9f\x99\x86\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82 https://t.co/gtrEzIkIaZ'
1176463191011930112,2019-09-24 11:47:37,b'RT @MbiyaRuth1: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 this is refreshing https://t.co/JMXHj8KcLv'
1176463143784108033,2019-09-24 11:47:25,b'RT @KJoel002: @AndrewOmuge30 @uga_dude I remember doing this and more when ex was breaking up me. That joy is unmeasurable. I was elated \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xe2\x80\xa6'
1176463090709348353,2019-09-24 11:47:13,"b'RT @Georgie__Lec1: @AndrewOmuge30 @switflav My friend asked if animals have blood groups, the class was pin drop silent including the teach\xe2\x80\xa6'"
1176463023491469319,2019-09-24 11:46:57,b'RT @PerezNyende: Reminds me of some guy who asked the teacher for one word of a young one of a chameleon. \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/cIy2UFzddn'
1176462989379198977,2019-09-24 11:46:48,b'RT @queenofthawrld: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/QWM94NaFbV'
1176461903746555904,2019-09-24 11:42:30,b'RT @PirateMulwana: We are welcoming October in a special way with the #UgTradeFair19 that is going to happen at @newsUMA Show Grounds from\xe2\x80\xa6'
1176461852458528768,2019-09-24 11:42:17,"b'RT @AmpaireVictor: Come enjoy special discounts, learn about new products, engage with manufacturers for reliable information at the #UgTra\xe2\x80\xa6'"
1176461801900466177,2019-09-24 11:42:05,"b'RT @LynnAheebwa: The #UgTradeFair19 is getting closer by the day. If you started saving 1k today till 2nd Oct, you would have the 5k for en\xe2\x80\xa6'"
1176418925283880960,2019-09-24 08:51:43,"b'You can still catch ""Kony Order From Above"" movie with a friend at century cinemax as low as 20k Ugx, let\'s support\xe2\x80\xa6 https://t.co/TNlHXvYbR1'"
1176417406513799168,2019-09-24 08:45:41,b'RT @meet_carl: And it was already 1 minute into Break /Lunch time \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\xa0 https://t.co/F5QlMtaeJT'
1176417300364386304,2019-09-24 08:45:15,"b""Van Dijk's failure to win the Men's Best Player of the year award discourages other defenders from working so hard\xe2\x80\xa6 https://t.co/ptMwXDlQtk"""
1176416369082081281,2019-09-24 08:41:33,b'@_harryalvin @PatohShanqueels Have some Respek \xe2\x9c\x8c'
1176416200538169349,2019-09-24 08:40:53,b'RT @rashidkatra: @AndrewOmuge30 Man u only gave us half the story'
1176416132531720193,2019-09-24 08:40:37,b'RT @igs_gre_inno: Very true\nTalk about mgt... https://t.co/WEcc7PM4fP'
1176416095995138048,2019-09-24 08:40:28,"b""RT @frank_wavah: That's wat the mgt told u or u are on the mgt \xf0\x9f\x98\x95 https://t.co/aRNEcGiNVU"""
1176415569966505986,2019-09-24 08:38:23,b'RT @ug_chelsea: Dear Team 1987-1996 May You Please Get Married You Are Causing Traffic In Night Clubs \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 \xf0\x9f\x98\x82'
1176415412470407168,2019-09-24 08:37:45,"b'RT @richwalusimbi: Many of u girls be like ""Sun kissed"", nooooo. A beg its ""Makeup kissed""'"
1176415056311083008,2019-09-24 08:36:20,b'We all had that student who always asked questions &amp; even sometimes challenged teachers\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/enwks03e1x'
1176414767524798466,2019-09-24 08:35:11,"b'The Los blancos had to, without them football (FIFA fipro 11) loses meaning #HalaMadrid https://t.co/zsAk2UrRvb'"
1176414090086031361,2019-09-24 08:32:30,"b'Arsenal fans are really brainless, someone just said Mustafi &amp; Guendozi deserved to feature in FIFA fipro 11 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I died'"
1176413147365892096,2019-09-24 08:28:45,b'@Tonix_Ug Thick is Key \xf0\x9f\x91\x8c'
1176412056179884032,2019-09-24 08:24:25,b'RT @QuteJR: What to expect \n\n-affordable products \n-new job opportunities \n-new breed of customers (local and international)\n-new connectio\xe2\x80\xa6'
1176405724513091584,2019-09-24 07:59:15,b'@newsUMA brings you the 27th edition of Uganda international trade fair at UMA grounds with an entrance fee of just\xe2\x80\xa6 https://t.co/ja4SqHTMJh'
1176405019480010752,2019-09-24 07:56:27,"b'Van Dijk or Ronaldo deserved that but since Messi has favor from top Mgt, why not bag it?'"
1176404488346841088,2019-09-24 07:54:21,b'RT @luckietyra: We even send text msgs crying when we are alrdy in new bae\xe2\x80\x99s crib\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/MWAZ6gKvo8'
1176404450958856192,2019-09-24 07:54:12,b'RT @SeneElla: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/G5scuL8TXd'
1176403828490608644,2019-09-24 07:51:43,b'RT @davidbujjadda: Some Monday night raw for you \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/8Itcj4fQLd'
1176403121498656768,2019-09-24 07:48:55,b'RT @One_PiusJadwar: Darkness robs many people living in rural areas the chance to enjoy light moments after sunset. @BrightLifeFINCA commit\xe2\x80\xa6'
1176402985917800448,2019-09-24 07:48:23,"b'How girls look at boy\'s ""it\'s over between us texts"" yet she\'s never even dated him \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/tXcAcqR35r'"
1176402788202549248,2019-09-24 07:47:35,"b""You're looking for the best gaming hub around town, well @KenoGameParlour Is always ready &amp; available to serve you\xe2\x80\xa6 https://t.co/jzafittFWM"""
1176402067314941952,2019-09-24 07:44:43,"b'RT @Ra__kiia: I hate when people say ""you deserve someone better than me"" okay? so be better for me \xf0\x9f\x98\xa9'"
1176401496902180864,2019-09-24 07:42:28,"b""RT @Michael_clad: Guys when we hug, the females arms go on top of the males shoulder and the males arm go to the waist down. Let's avoid co\xe2\x80\xa6"""
1176401464912175104,2019-09-24 07:42:20,"b'RT @NasirTajir: Your mom took nine months to form your heart, do not let anyone break it in fifteen seconds.'"
1176401345982664704,2019-09-24 07:41:52,b'RT @Fact: The doctor who discovered that hand washing prevented the spread of disease was thrown in a mental institution for his crazy idea\xe2\x80\xa6'
1176401311526522882,2019-09-24 07:41:43,b'Football has lost meaning \xf0\x9f\x99\x8c'
1176401136510746624,2019-09-24 07:41:02,"b""RT @qwinnie_lee: They Said If Your Palm Itches You, You're Going To Have Money, If Your Leg Itches You, You're Gonna Travel Soon, Now My Ni\xe2\x80\xa6"""
1176401092084674560,2019-09-24 07:40:51,"b'RT @AndrewOmuge30: How ""I don\'t beg money from boys"" girls look at you when your counting money https://t.co/u1Zv0risKJ'"
1176401062443573248,2019-09-24 07:40:44,"b""RT @AndrewOmuge30: There's no better feeling than vybing a beautiful girl you didn't even expect to give you attention but then she accepts\xe2\x80\xa6"""
1176400997054386177,2019-09-24 07:40:28,"b'RT @AndrewOmuge30: So this guy asked his roomie to leave the hostel room for him to host his girl, guess what when the girl arrived! it was\xe2\x80\xa6'"
1176400480248958976,2019-09-24 07:38:25,"b'RT @Fact: Tetris is a game, which if played for 30 minutes a day, can make you smarter.'"
1176400337206423553,2019-09-24 07:37:51,b'RT @twaka90: I had a football match on my birthday yesterday so I printed out a nice undershirt with celebrating words because I was so con\xe2\x80\xa6'
1176400228775337984,2019-09-24 07:37:25,b'RT @faithfully_I: I hear Messi brought another world peace \nWell done Leo \nThe ahokyer3 stats will be on the low now for sometime \nIf you k\xe2\x80\xa6'
1176400184944857088,2019-09-24 07:37:15,b'RT @_sallynat_: Old people always poke me and says\xe2\x80\x9d you\xe2\x80\x99re next\xe2\x80\x9d at weddings \xf0\x9f\x92\x92\xf0\x9f\x99\x82.\nSo I started doing same at funerals\xf0\x9f\x99\x83. Nice of me right?'
1176400112450527232,2019-09-24 07:36:57,b'RT @qwinnie_lee: 007 \xf0\x9f\x92\x97 https://t.co/AEtbsQgf6y'
1176399981462401025,2019-09-24 07:36:26,"b'RT @ugakid01: some niggas spend the day jazzing the bad chics, other niggas spend the night banging the same chics.'"
1176399817075040256,2019-09-24 07:35:47,b'RT @Umwami01: Truth be told @Cristiano is the G O A T Our generation is so lucky to see &amp; witness his magical  skills in soccer \xf0\x9f\xa5\x85  \xe2\x9a\xbd\xef\xb8\x8f but y\xe2\x80\xa6'
1176399759147438081,2019-09-24 07:35:33,b'RT @KafwasaBraise: Remember people will hardly ever forget small acts of kindness \xe2\x9c\x8c\xef\xb8\x8f **Be kind** https://t.co/ftRi88y4I6'
1176399715983904770,2019-09-24 07:35:23,"b'RT @switflav: May you be healthy,                                     Blessed and prosperous                                 \xf0\x9f\x8d\xaetoday!!!!\xe2\x80\xa6'"
1176399630931808257,2019-09-24 07:35:03,"b""RT @RonnieReaky: When she's out of your league but you still smash. https://t.co/YefUH0dFqF"""
1176399533032579072,2019-09-24 07:34:39,"b'RT @dick_eugy: Niggas grab your girls ass when they hug her, focus on you bro \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/PLzncEYmOL'"
1176399452447395842,2019-09-24 07:34:20,"b""RT @davidbujjadda: Whenever I find a tweet with 9 or 99 \xe2\x9d\xa4\nIt's a must for me to make them 10 or 100\xe2\x9d\xa4 https://t.co/GGtX74rDdq"""
1176399407601913856,2019-09-24 07:34:09,b'RT @Ssentongopeter5: \xf0\x9f\x98\xa9 Honestly am tired..the next girl am going to hug from today just know am going to hold you tight andn grab  your ass\xe2\x80\xa6'
1176399363163271169,2019-09-24 07:33:59,b'RT @etznvakampala: What To Do before dating a girl from western Uganda! \xf0\x9f\x98\x8c PRECAUTIONS \xf0\x9f\x98\x82\n\nSwimming lessons \xf0\x9f\x8f\x8a\xf0\x9f\x8f\xbf\nWater proofed mattress \xf0\x9f\x9b\x8f\nSwimm\xe2\x80\xa6'
1176399317642489856,2019-09-24 07:33:48,"b""RT @Phyllis_Shanie: Cheating wouldn't have been that bad if you all don't catch feelings in the process."""
1176399179754680322,2019-09-24 07:33:15,b'RT @FlexingMushona: Most ladies claim to love money than sex... surprisingly they get pregnant instead of getting rich.'
1176399120988352512,2019-09-24 07:33:01,"b'RT @Blaaq_ie: This nigga really be out here kissing random girls, after saying I\xe2\x80\x99m the hottest girl in the galaxy. That\xe2\x80\x99s it, I\xe2\x80\x99m done. All\xe2\x80\xa6'"
1176399086691520512,2019-09-24 07:32:53,b'RT @dc_ross55: Thank you all for your kind birthday wishes that helped make it a very very happy birthday! God bless you all \xf0\x9f\x99\x8c\xe2\x9d\xa4'
1176399003753353217,2019-09-24 07:32:33,"b'RT @Reqqie_Sario: In Scary Movies I Love How The Blow Man Yells Out ""Hello?"" As If The Killer Is Going To Be Like ""Yeah I\'m In The Kitchen,\xe2\x80\xa6'"
1176398862904451072,2019-09-24 07:32:00,"b'RT @assasnsfunclub: Just came across this and couldn\'t stop looking... Zetu cars\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\nhttps://t.co/hRQwSbJ4wB""&gt;https://t.co/hRQwSbJ4wB'"
1176398820432863232,2019-09-24 07:31:49,b'RT @TheRealAssasn: The only African president to give aid to the United Kingdom in the times of an economic crisis. https://t.co/Ojfser4Inc'
1176398782377992193,2019-09-24 07:31:40,b'RT @JhusBLaze: I can confirm that the #MTNDabolo challenge is still so on with a smartphone up for grabs and data. Share a pair of anything\xe2\x80\xa6'
1176398729382899712,2019-09-24 07:31:28,b'RT @TheRealAssasn: What do u do if ur crush sees a condom fall off ur pocket by mistake?'
1176398584155168770,2019-09-24 07:30:53,b'RT @h_ssali: How can one balance books and twitter?\nTwitter is already another hardcore course unit \xf0\x9f\x98\xa2\xf0\x9f\x98\x82'
1176398544992911360,2019-09-24 07:30:44,b'RT @twaka90: If you attend any ceremony in the Village without your mother you can surely suffer when it comes to time for food. \nThe way m\xe2\x80\xa6'
1176398500688465920,2019-09-24 07:30:33,"b""RT @Wave_Lounge_UG: Hello New Week\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5, We're Getting Started Early\xe2\x9d\x95  #CrazyTuesday Hosted by DJ Shiru and Mc Percy \xf0\x9f\x92\xa5\xe2\x99\xa8\xef\xb8\x8f\xe2\x99\xa3\xef\xb8\x8f\xe2\x99\xa0\xef\xb8\x8f\n\n#HeresTheDeal ~~\xe2\x80\xa6"""
1176398451246059520,2019-09-24 07:30:21,b'RT @Quetalive: Songwriters Here is something for you https://t.co/xzekzhbDkz'
1176398310267129856,2019-09-24 07:29:48,b'RT @MusinguziElly1: @IamApass the Teacher \n@AvanKavy the Prefect \nAre on #countryofmen \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/XbFJWkG2uN'
1176398257532129281,2019-09-24 07:29:35,b'RT @kall_essy: Success is never achieved by the size of our brain but it is always achieved by the quality of our thoughts.'
1176398217400987648,2019-09-24 07:29:26,"b""RT @nyaikae: I don't know who needs to hear this but STOP using your T-shirt/blouse to Clean the spoon when nobody is watching you. https:/\xe2\x80\xa6"""
1176398172794576897,2019-09-24 07:29:15,b'RT @aubry256: People advertise their social media handles in funny videos &amp; pictures e.g. Twitter &amp; Instagram am waiting for a legend who w\xe2\x80\xa6'
1176398135075250177,2019-09-24 07:29:06,"b""RT @_jaidwxst: Don't let bitterness, jealousy and envy poison your mind. Be happy when others succeed and let it inspire you to succeed and\xe2\x80\xa6"""
1176398093086003200,2019-09-24 07:28:56,b'RT @AARInsuranceU: The food we eat is like fuel. It gives our bodies the energy it needs to function well. If you don\xe2\x80\x99t ensure that the fue\xe2\x80\xa6'
1176398041944907776,2019-09-24 07:28:44,b'RT @TreyKapata: Who chopped your hair or the hairline is receding in parts https://t.co/4PzZiuvkYY'
1176397975855280128,2019-09-24 07:28:28,"b""RT @RulixFelix: FIST DAY.\n\nMATH'S TEACHER : okay guys, we're already behind.\n\nCLASS : https://t.co/mivxuyvnQR"""
1176397937225666560,2019-09-24 07:28:19,"b'RT @CollinsNathan1: Fact is we dnt need some of these awards,they make football look bogus tbh,we need to enjoy the game peacefully'"
1176397897878913024,2019-09-24 07:28:09,"b""RT @JokeyUg: It doesn't matter how many times you fall... what matters is how many times you get and make it to the top again!!"""
1176397790328606723,2019-09-24 07:27:44,b'RT @andytheoryUG: From error to error one discovers the entire truth.\xf0\x9f\x98\x89'
1176397698955644928,2019-09-24 07:27:22,"b""RT @MukiibiEmma2: Are you looking for block baster movies but you don't know where to get them from ?!and downloading is proving to be expe\xe2\x80\xa6"""
1176397398417072129,2019-09-24 07:26:10,"b""RT @iamkigwax10: Ps4 on sale..\nIn good condition, with two pads\n\nIf you're interested, DM\nRt my buyer might be on your tl"""
1176397366880100352,2019-09-24 07:26:03,b'RT @TuramuhaweCjay: Good morning EAST AFRICA \xe2\x9d\xa4\xf0\x9f\xa4\x97'
1176396840406831104,2019-09-24 07:23:57,b'RT @AyebareSolomon1: @AndrewOmuge30 I prefer not to speak \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
