id,created_at,text
1176545096503705600,2019-09-24 17:13:04,"b'RT @Revnickk: The 6th Annual National Conference on economic, social and cultural rights will be happening at @MakerereU. Follow the tag #E\xe2\x80\xa6'"
1176542039791624194,2019-09-24 17:00:56,b'RT @iMali___: Literally experienced this just a few minutes ago \xf0\x9f\x99\x83 men are always so pressed about what we women do. https://t.co/Ms2EtxMKsY'
1176531536797229056,2019-09-24 16:19:11,b'The witches were really happy until they read the whole thread \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/q1ZcpO8ukn'
1176530465659990016,2019-09-24 16:14:56,b'RT @governorbugembe: Expect production at it\xe2\x80\x99s best\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d \n#NexusloungeAt3 https://t.co/aa0SGvkabY'
1176530337150709760,2019-09-24 16:14:25,b'RT @ShadyZziwa14: \xf0\x9f\x98\x82\xf0\x9f\x98\x82anha https://t.co/2HU9KO64WI'
1176518705242693634,2019-09-24 15:28:12,"b""RT @akatukunda_: Now you know that it ain't:\n-Beauty \n-Water \n-Money \n-Love/care \n..etc\nthat keeps a man. He'll only stay if he has chosen\xe2\x80\xa6"""
1176516694887620609,2019-09-24 15:20:13,b'@ahabwe_ivan @Le_Berz @EDriciru @praise_atukunda @Lynduhdorcus @KFCinUganda @solomonkibz @SarahSolomong Yes keep looking!'
1176515980517920770,2019-09-24 15:17:23,b'@benj_amin11 Fuckin shit'
1176514696058474497,2019-09-24 15:12:16,"b'RT @governorbugembe: Hey, Do you know of tonight\xe2\x80\x99s plot?\nCheck in at @NexusLounge_ug formthe #TuesdayLiveThrill with @Nimroddj https://t.co\xe2\x80\xa6'"
1176512370228760576,2019-09-24 15:03:02,b'@the_travor_guy What ate\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176512311076491264,2019-09-24 15:02:48,b'RT @PaulAtwine: &amp; when the nights get lonely you can...nvm https://t.co/SFftRvypn7'
1176512243460190208,2019-09-24 15:02:32,b'RT @Ssentongopeter5: Chocolate and dark skinned ladies \xf0\x9f\x98\x8d\xe2\x98\xba\xef\xb8\x8f\xe2\x9c\x8ayou are the real deal....\xf0\x9f\xa4\x97'
1176512219942739968,2019-09-24 15:02:26,b'@Theedoug__ @Ssentongopeter5 \xf0\x9f\x98\x8cthanks'
1176512163449638914,2019-09-24 15:02:12,"b""RT @Kamali_21: But I thought that's what y'all women do, oba? https://t.co/4Dy6YmAINg"""
1176492967789568001,2019-09-24 13:45:56,"b'New trend of earrings,ladies shall we? https://t.co/XCagj3LHnX'"
1176492633503543296,2019-09-24 13:44:36,b'So this is where @TuramuhaweCjay copied the hairstyle \xf0\x9f\x8c\x9a https://t.co/4MFUMpHbKX'
1176489510504423426,2019-09-24 13:32:12,b'RT @baketerana: \xf0\x9f\x92\x80 https://t.co/M8Dk0iuD3d'
1176480718832185345,2019-09-24 12:57:15,b'RT @justtryarnold: when did Nipsey start looking like Tupac?\xf0\x9f\x99\x84 https://t.co/YiF84ZxXS9'
1176466451345170437,2019-09-24 12:00:34,b'How many retweets for this house\xf0\x9f\x98\x81 https://t.co/lwNwt8uBKF'
1176466073740353539,2019-09-24 11:59:04,"b'RT @SubDeliveryZone: - Video of a Ghanaian teacher showing his students practical example of ""improper fraction"".\n\n https://t.co/PqpUyYG5Eg'"
1176465334762713088,2019-09-24 11:56:08,b'My head is already paining me \xf0\x9f\x98\xb0\xf0\x9f\x98\xb0 https://t.co/2pHuxSgfcR'
1176464852178657288,2019-09-24 11:54:13,b'Steal a lot of money https://t.co/XV5VgnP3jX'
1176463817309642754,2019-09-24 11:50:06,"b'I wonder how my mom was able to do hard chores in her young life,marry,raise kids,work and still look normal and he\xe2\x80\xa6 https://t.co/Gld6Tgvp0D'"
1176461922222391301,2019-09-24 11:42:34,"b""RT @Petercleavers: Y'all ignorant asf \xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\nAre you too young to know it's 2pac? \xf0\x9f\x98\xa1 https://t.co/vpQycxprOm"""
1176460903526666240,2019-09-24 11:38:31,b'@QuteJR Y\xe2\x80\x99all trash \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176460716917821443,2019-09-24 11:37:47,b'Such disrespect this is Nipsey Hussle https://t.co/jbvEQz1nXt'
