id,created_at,text
1176542754375159809,2019-09-24 17:03:46,b'https://t.co/QTS1FNcAq7 https://t.co/cQdWeDg51j'
1176542419589959680,2019-09-24 17:02:26,"b'RT @sonofamukiga: But if an ""ugly"" person says you\'re ugly, best believe you are because we know ourselves.\n\n                   Thanks\xe2\x80\xa6'"
1176542130027806721,2019-09-24 17:01:17,"b'My week on Twitter \xf0\x9f\x8e\x89: 524 Mentions, 39K Mention Reach, 1.7K Likes, 384 Retweets, 2.17M Retweet Reach. See yours wit\xe2\x80\xa6 https://t.co/rZB1l5iHNJ'"
1176542017381392384,2019-09-24 17:00:50,b'RT @Shadrackay: Happy +1 to me https://t.co/X5Pw1RObpS'
1176542015598845952,2019-09-24 17:00:50,b'Happy birthday guga\xe2\x9c\x8b https://t.co/xcXx674OyR'
1176541608583618560,2019-09-24 16:59:13,"b'RT @hansateenyi: @NandiraJessy @M_Asingwire As long as they continue performing the way they are, yes they are the biggest and most success\xe2\x80\xa6'"
1176536034252865536,2019-09-24 16:37:04,"b""RT @P_Kagangure: After ejaculation conversations can't get any more weird. https://t.co/Kz8jGDfzU7"""
1176535926962610176,2019-09-24 16:36:38,b'@P_Kagangure \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176535848650772481,2019-09-24 16:36:19,b'RT @P_Kagangure: @NandiraJessy Your girlfriend needs to stop playing with your phone'
1176535745001066496,2019-09-24 16:35:55,b'@Ashrafkasirye_ \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176535714323939330,2019-09-24 16:35:47,b'RT @Ashrafkasirye_: @NandiraJessy \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82ani agulidde nilo?'
1176535712474312707,2019-09-24 16:35:47,b'RT @sonofamukiga: @NandiraJessy @KJaphar togwaamu suubi \xf0\x9f\x98\x84'
1176532894828900353,2019-09-24 16:24:35,b'RT @legendary_qt_: When you brag how you can go 4 rounds but 10 is her min and in her mind she is like look at this one ... https://t.co/tf\xe2\x80\xa6'
1176532118677200896,2019-09-24 16:21:30,b'@Evelyn_Nakayi \xf0\x9f\x98\x86\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 needa just mazima'
1176532039572578304,2019-09-24 16:21:11,b'RT @Evelyn_Nakayi: Naye okundala.\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/USFnKwhtJ4'
1176531308660580352,2019-09-24 16:18:17,b'Quick reminder please!!!\n\nManchester United was &amp; is still the biggest &amp; most successful club in the history of Eng\xe2\x80\xa6 https://t.co/rSCC0CbDNs'
1176530815909617665,2019-09-24 16:16:20,"b""RT @nampwera1: @NandiraJessy For me I'm used to @NandiraJessy making noise, wait when we thrash them on monday and then he finds another wa\xe2\x80\xa6"""
1176530625009991683,2019-09-24 16:15:34,b'RT @mkanoti: @CanparaCollin Boss I think now u know kool\n\nGo party mbwana https://t.co/D2LYBhDWzM'
1176530589953998849,2019-09-24 16:15:26,b'@_WilsonCTE95 Bruh\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176530212139544578,2019-09-24 16:13:56,b'@CanparaCollin Owaye\xf0\x9f\x98\x82'
1176529682302492672,2019-09-24 16:11:49,b'RT @CanparaCollin: @NandiraJessy Does this come with free photography oba?'
1176528788127125504,2019-09-24 16:08:16,b'RT @digitaldidan: Imagine @KFCinUganda chicken had soup. There wouldn\xe2\x80\x99t be any left in this piece bambi. \n#KFCShellMakindye https://t.co/Ho\xe2\x80\xa6'
1176511160826380288,2019-09-24 14:58:13,b'RT @bablo_noor: @ManUtd will beat @Arsenal .... There I can bet .... https://t.co/1XREVOSFRO'
1176508746937327616,2019-09-24 14:48:38,b'RT @HectorBellerin: Home \xe2\x9d\xa4\xef\xb8\x8f https://t.co/be0cVZN5tU'
1176508166588289027,2019-09-24 14:46:20,b'RT @Evelyn_Nakayi: United sibebafu leero luno.\xf0\x9f\x98\x82 https://t.co/JGpjinVIsm'
1176508122757783552,2019-09-24 14:46:09,b'RT @TiruHilarylee: @kaz_ian They played the match 9 in the pitch and 1 in the goal and yes they struggled but with a reason'
1176508056454275072,2019-09-24 14:45:53,"b""RT @kaz_ian: You struggled against aston villa and watford on a full squad, where's all this confidence coming from?? https://t.co/7oCY5JdL\xe2\x80\xa6"""
1176508045540691968,2019-09-24 14:45:51,b'RT @edville8: @rawambi @musakyng @NandiraJessy  @Soule_k @fredie_seru  come see the She Cranes https://t.co/agzUb6Lnip'
1176491526324662273,2019-09-24 13:40:12,b'@coldwar_kid Yiyii\xf0\x9f\x98\x86\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176491475426848769,2019-09-24 13:40:00,b'RT @coldwar_kid: You can\xe2\x80\x99t put \xe2\x80\x9conly\xe2\x80\x9d before any figure above 10k. \nLike you can\xe2\x80\x99t say only 11k. That\xe2\x80\x99s not \xe2\x80\x9conly\xe2\x80\x9d. That\xe2\x80\x99s \xe2\x80\x9calot\xe2\x80\x9d\xf0\x9f\x98\x82 https://\xe2\x80\xa6'
1176487347304767489,2019-09-24 13:23:36,b'RT @aubry256: trouble https://t.co/jB7AgyOUKD'
1176470742822727681,2019-09-24 12:17:37,b'Arsenal vs Forest\nUnited vs Arsenal\nArsenal vs Bournemouth\nSheffield United vs Arsenal\nArsenal vs Vitoria\nArsenal v\xe2\x80\xa6 https://t.co/IoOkTuEc0P'
1176468721608601600,2019-09-24 12:09:35,b'RT @PirateMulwana: Hard Guy Hard Guy buh do you hav the guts to go down this road?\xf0\x9f\x8c\x9a\xf0\x9f\x91\x80 https://t.co/dvtN3yhiOc'
1176467489427021824,2019-09-24 12:04:41,b'RT @WZahaa: The London comeback kings are back in action tonight\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a. An Arsenal win and a Man City Over can get you some money tonight. \nTo\xe2\x80\xa6'
1176459696007524352,2019-09-24 11:33:43,b'RT @MathabaJorge: Someone come fetch your mom please! https://t.co/9qpTndnbyz'
1176458786745307136,2019-09-24 11:30:06,"b'RT @Pato_Official07: It has been a while since I last applied my Photography and Photoshop skills, but wooooow, I still got my touch. \xf0\x9f\x98\x8d\n\nCc\xe2\x80\xa6'"
1176458278185906176,2019-09-24 11:28:05,b'RT @Owomunshozi: @NandiraJessy \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1176457187977248769,2019-09-24 11:23:45,b'RT @chi_emezie: Like how can you always put in the same individuals in a global sport that uses a defined criteria for electing who goes in\xe2\x80\xa6'
1176453293045878784,2019-09-24 11:08:17,"b'RT @warsamefooty: How shit must the Bundesliga be to have Mkhi, Xhaka &amp; Kolasinac in their team of the seasons. Never trusting someone who\xe2\x80\xa6'"
1176453194316242945,2019-09-24 11:07:53,b'RT @praise_atukunda: Imagine having Big Tril and Jazmine at the same party\xf0\x9f\x98\xa6\xf0\x9f\x94\xa5\nWell it\xe2\x80\x99s happening on 12th October at the biggest event of th\xe2\x80\xa6'
1176453155556593666,2019-09-24 11:07:44,"b'RT @GalSportBetting: Today\'s EFL Cup Fixtures\n\n| Arsenal\xf0\x9f\x86\x9a\xef\xb8\x8fNottingham |""\n| Colchester\xf0\x9f\x86\x9a\xef\xb8\x8fTottenham |""\n| Luton\xf0\x9f\x86\x9a\xef\xb8\x8fLeicester |""\n| Preston\xf0\x9f\x86\x9a\xef\xb8\x8fMan Cit\xe2\x80\xa6'"
1176453123692466176,2019-09-24 11:07:36,"b""RT @Mwes_Drew: It's my birthday y'all!!! \xf0\x9f\x8e\x89 I want to thank God for yet another great year He's given me. I genuinely feel blessed coz a lot\xe2\x80\xa6"""
1176441666909220864,2019-09-24 10:22:05,"b'RT @Le_Berz: Its lunch break, go by #KFCShellMakindye for an amazing dinning experience. https://t.co/A5yB8Er2VE'"
1176440018040172552,2019-09-24 10:15:32,b'RT @DonaldMasete2: You already know https://t.co/XWQcBZnFB2'
1176436284035936258,2019-09-24 10:00:41,b'RT @Lynduhdorcus: Its Lunch time.\xf0\x9f\x98\x8a\nLook no further #KFCShellMakindye is now open and operating. You can now pass by and get that finger lic\xe2\x80\xa6'
1176436196546883584,2019-09-24 10:00:21,b'@Le_Berz @VivoEnergyUg @KFCinUganda @EDriciru @solomonkibz @praise_atukunda @AtimCharlotte \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176436158659776513,2019-09-24 10:00:12,"b'RT @Le_Berz: ""How much is a Rolex?""\n\nHer: ""I don\'t know, I eat at KFC""\n#KFCShellMakindye https://t.co/UBkAAJzrBA'"
1176435655884312576,2019-09-24 09:58:12,b'RT @Lynduhdorcus: Its finger licking where by you even feel the sweetness in your soul\xf0\x9f\x98\x8a. KFC chicken will never leave you the same.\xe2\x98\xba\nAll yo\xe2\x80\xa6'
1176435561785176064,2019-09-24 09:57:49,b'RT @Lynduhdorcus: How do you spend your alone time?\n\nMe: i eat KFC.\xf0\x9f\x98\x9d\n#KFCShellMakindye https://t.co/PhUsi8w1R6'
1176435464594776065,2019-09-24 09:57:26,b'RT @Lynduhdorcus: When my @praise_atukunda asks me for my piece of chicken.\n\nMe: \n#KFCShellMakindye https://t.co/YLfpjSSZv9'
1176434917472907265,2019-09-24 09:55:16,"b""@21edoh I'll let @GalSportBetting be of help to you sir\xf0\x9f\x98\x8c"""
1176434744210395136,2019-09-24 09:54:34,"b""RT @21edoh: @NandiraJessy You are busy convincing me to eat my children's fees in Makindye then you turn and complain about the lack of doc\xe2\x80\xa6"""
