id,created_at,text
1176520248767524864,2019-09-24 15:34:20,b'RT @Sammyskopi: Not checking your phone in the morning until you\xe2\x80\x99ve prayed &amp; got ready for the day is the best thing to do.'
1176518406759206912,2019-09-24 15:27:01,"b'RT @RitaStyles20: If you are in a relationship but abandon your man, we the children of God will locate him and make happy. The abandoned b\xe2\x80\xa6'"
1176471747727638528,2019-09-24 12:21:37,b'RT @AldrineEsther: No man loves abroke ass bitch\xf0\x9f\x99\x84 https://t.co/rI74P6Z1BV'
1176416887372222464,2019-09-24 08:43:37,"b""Still haven't watched KOFA yet? It's still being screened at Century Cinemax Acacia Mall till 26th September. Don't\xe2\x80\xa6 https://t.co/qJLWdew50T"""
1176415839324725249,2019-09-24 08:39:27,"b""What's your excuse about being single?"""
1176054175429484544,2019-09-23 08:42:20,"b'RT @howardjeff10: Foldable Silicone water bottles for sale. Choose your color and stay trendy. \nCall 0700152232 to make an order now, free\xe2\x80\xa6'"
1176053996022358016,2019-09-23 08:41:37,b'RT @RitaStyles20: May our parents live to witness our success.'
1176053759488811008,2019-09-23 08:40:40,b'RT @howardjeff10: If I talk people will think that I hate this university in Banda\xf0\x9f\x98\x82 https://t.co/kq8MPi6qpa'
1176046403707187201,2019-09-23 08:11:27,b'Have you not watched KONY: Order From Above yet? You can still watch from today till 26th at Century Cinemax Acacia\xe2\x80\xa6 https://t.co/sPawVzA9oW'
1176045626418745344,2019-09-23 08:08:21,"b'RT @howardjeff10: KONY: Order From Above showing in cinemas from today till 26th September at Century Cinemax Acacia Mall @ 20,000 Ugx only\xe2\x80\xa6'"
1175818931048722432,2019-09-22 17:07:33,"b""RT @allano47767911: The perception that Africans are poor doesn't add up when you try to calculate the amount of money spent on Education f\xe2\x80\xa6"""
1175813341836664832,2019-09-22 16:45:20,"b""RT @igniteivan: When one of your crew members says they haven't watched Kony: Order From Above yet it's showing at Cinamax Acacia for just\xe2\x80\xa6"""
1175813308030619649,2019-09-22 16:45:12,b'RT @RitaStyles20: Mark the Date!!!!!!\nSave 20K and be ready for the funnnnnn #SoireeHalloweenParty https://t.co/tsRJFF8boL'
1175812451822178305,2019-09-22 16:41:48,"b""RT @howardjeff10: This is one of the coolest things you'll see on the Internet today https://t.co/CUzMbFxfrH"""
1175794396052238336,2019-09-22 15:30:03,b'Grab one from @rolexguy_ug. It will change your life https://t.co/MvD2lvBCkL'
1175780990092009472,2019-09-22 14:36:47,b'@dbinea \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
