id,created_at,text
1176492386911997952,2019-09-24 13:43:37,"b""RT @RichardClauds: This is how girls run \xf0\x9f\x8f\x83 after finish eating the guy's money.. you can never catch her ah swear \xf0\x9f\x98\x82 https://t.co/Vs929R21ge"""
1176490423495417858,2019-09-24 13:35:49,b'God give me money so that I can do such things for my man too\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/A0cBXfDouY'
1176489900717367296,2019-09-24 13:33:45,b'RT @AusBassie: UPDATE: We broke up! https://t.co/NZuSJ5es57'
1176489424525373440,2019-09-24 13:31:51,b'Love yours \xf0\x9f\xa4\x97 https://t.co/CeZeu5vbGM'
1176488757681381376,2019-09-24 13:29:12,b'Is it just me or does this look so wrong \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x99\x8c\nI need Jesus. https://t.co/mEnDVmt4fF'
1176488084743098369,2019-09-24 13:26:32,"b'If you have not watched #Sunday please, go and watch it @AllanToniks just killed it AGAIN\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xf0\x9f\x98\xad\nThe video is priceles\xe2\x80\xa6 https://t.co/GMTXVepX9h'"
1176486803538358272,2019-09-24 13:21:26,b'Thank God its not Uganda\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nWe are tired of being the victims. https://t.co/3h6CKEgG5Q'
1176486408904749056,2019-09-24 13:19:52,"b'RT @sonjoe_kutuh_: Its been brought to my attention that all the guys doing love on this twitter carry this particular haircut, so yesterda\xe2\x80\xa6'"
1176486001801355264,2019-09-24 13:18:15,b'RT @AllanToniks: Fresh jam #Sunday got the ladies #vibing #deep \xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x95\xba\xf0\x9f\x8f\xbd\xf0\x9f\x94\x89\xf0\x9f\x94\x89\xf0\x9f\x94\x89\nNow available in all online stores. Share your #vibe with us \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c h\xe2\x80\xa6'
1176485051900530688,2019-09-24 13:14:29,b'RT @WZahaa: And after a year they come asking for car washes. https://t.co/d0qjRyWAu2'
1176484988235210752,2019-09-24 13:14:13,b'Humans are trash\xf0\x9f\x98\x82 https://t.co/VDMhakTMZS'
1176479175047360514,2019-09-24 12:51:07,b'Looking for a date to  #BusikaFestOut \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xe2\x9d\xa4 https://t.co/ebZO9WKPGS'
1176410407625547777,2019-09-24 08:17:52,b'I feel so attacked \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/asiPRU0oGk'
