id,created_at,text
1176527465818312704,2019-09-24 16:03:01,"b""RT @SarahSolomong: Order @KFCinUganda streetwise and get everyone at the table and enjoy life's finger licking chicken  \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe #KFCShellMakin\xe2\x80\xa6"""
1176527419089592320,2019-09-24 16:02:50,b'Chicken at #KFCShellMakindye hits different \xf0\x9f\x98\x8b https://t.co/FX4HDQZwnb'
1176527131209273344,2019-09-24 16:01:41,b'RT @ThomasMicrowise: When you are looking for plot and someone reminds you  #KFCShellMakindye OPEN \xf0\x9f\x98\x8b\xf0\x9f\x98\x8b https://t.co/4lrMWFxdFa'
1176526748751749121,2019-09-24 16:00:10,b'RT @Jude_Mugabi: I was taking a walk down Kla road &amp; a throwback hit me - Terrific Tuesdays at Nandos. UGX 500/= taxi from Wandegeya.'
1176523949888495616,2019-09-24 15:49:03,b'RT @thephoneguyUG: iPhone 7plus 32GB.     1.5m\niPhone 6s Plus 128GB.   1.25m\nIphone 6s plus 64GB.    1.15\niPhone 6s Plus 32gb.    1.1m\niPho\xe2\x80\xa6'
1176523860826624001,2019-09-24 15:48:41,b'RT @chijiokesr: Mark Zuckerberg Ex Girlfriend Once tried to block him on Facebook. https://t.co/X65gIgKPG7'
1176523564763275265,2019-09-24 15:47:31,"b""RT @the_travor_guy: When you telling her about the mansions you've but her guy chills with Sudhir's son. https://t.co/M0KRlecUIq"""
1176523326015123457,2019-09-24 15:46:34,b'RT @utdxtra: Paul Pogba\xe2\x80\x99s mum rockin\xe2\x80\x99 the United gear \xf0\x9f\x98\x85 #mufc [Ig] https://t.co/F7j9dmqbfh'
1176523163028656129,2019-09-24 15:45:55,b'Short people are indeed very skilled people\xf0\x9f\x98\x82 https://t.co/3xCbe1eZ20'
1176522968752689153,2019-09-24 15:45:09,b'RT @RonnieReaky: ..and the FIFA player of the year is Messssiiiiiiiiiii.\n\nRonaldo: https://t.co/nrGO7d2hBb'
1176522935693205504,2019-09-24 15:45:01,"b'RT @Ssempijjastanle: Secure the bag fam, doesn\xe2\x80\x99t matter how\nJust secure the bag'"
1176517628048941057,2019-09-24 15:23:55,b'RT @MzedOmega: @PirateMulwana @AlexMuhangi @SafeBoda @ComedyStoreUG I know segawa. He took me from bukasa to kyambogo but the journey was s\xe2\x80\xa6'
1176516825267560448,2019-09-24 15:20:44,b'RT @Henrich256: Aya Bass https://t.co/3HwozOFlHl'
1176516815922577408,2019-09-24 15:20:42,b'RT @ObboShadrach: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82ehhh i thout i had hate but nahhh https://t.co/g4FqxI6VNB'
1176516802026856450,2019-09-24 15:20:38,b'RT @BrianAndrews256: The stories boda men tell... https://t.co/36BJOA7J05'
1176516740416704512,2019-09-24 15:20:24,b'Can this magic happen in your country as well or you can explain\xf0\x9f\x98\x82 https://t.co/gAbfGuMY7O'
1176516166929539073,2019-09-24 15:18:07,b'RT @Dmulas22: Fellas that started watching football in 2010 https://t.co/QuQIPp63uG'
1176515751072673793,2019-09-24 15:16:28,"b'RT @AOsborn28270932: TBH, watching alone is so scary https://t.co/6I1CVxzLpz'"
1176515697217855488,2019-09-24 15:16:15,b'RT @solomonm97: @PirateMulwana Wat if musanga ensanafu \xf0\x9f\x90\x9c\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9'
1176515443303100417,2019-09-24 15:15:14,b'Well @AlexMuhangi my @SafeBoda rider 895 (Ssegawa) - 0785159090 today says he is pretty good at comedy. He says he\xe2\x80\xa6 https://t.co/2DFdGoXZSa'
1176503390982926336,2019-09-24 14:27:21,b'RT @MedMubiru: Be part of the Uganda International Trade Fair happening at UMA Show grounds brought to you by @newsUMA. Entrance is just Ug\xe2\x80\xa6'
1176502864434409472,2019-09-24 14:25:15,b'As clearly re-emphasised today at @ntvuganda the International Uganda Trade Fair will kick off on 2nd October to 10\xe2\x80\xa6 https://t.co/uaCfXyTnmL'
1176502372056666112,2019-09-24 14:23:18,"b""RT @newsUMA: EarlierToday: On @ntvuganda, The Country is all Geared up for the 27th Edition of #UgTradeFair19 \n\nYou Wouldn't Want to miss t\xe2\x80\xa6"""
1176501913627635714,2019-09-24 14:21:29,b'RT @kaweesa_rogers: Save your ka money and come for the 27th #UgTradeFair19 and buy commodities of your at discounted prices from 2nd/Octob\xe2\x80\xa6'
1176501906358886400,2019-09-24 14:21:27,"b'RT @kaweesa_rogers: 9 days of exhibiting,selling, networking and buying products at the cheapest prices ever. The 27th #UgTradeFair19 is on\xe2\x80\xa6'"
1176501894891671552,2019-09-24 14:21:24,b'RT @IvanDan17: @BurnMfg will you be exhibiting in this years #UgTradeFair19 or you just contented with your home market? @newsUMA https://t\xe2\x80\xa6'
