id,created_at,text
1176519438834814978,2019-09-24 15:31:07,"b""RT @RitaStyles20: My uncle took us out, he tipped the waiter 50K and gave us 10K each to go back to campus. We haven't healed till now \xf0\x9f\x98\x82\xf0\x9f\x98\x82 h\xe2\x80\xa6"""
1176498429217968128,2019-09-24 14:07:38,b'RT @dhabonajob: The #UgTradeFair19 is just a few days away taking place at UMA Show Grounds from 2nd/October to 10th/October. Come and enjo\xe2\x80\xa6'
1176498403016171520,2019-09-24 14:07:32,"b'RT @dhabonajob: Come through for the  #UgTradeFair19 and network, sell and exhibit your products at UMA show grounds from 2nd/Oct to 10th/O\xe2\x80\xa6'"
1176494789627392000,2019-09-24 13:53:10,b'@eltonb24 Give me details'
1176494732341653504,2019-09-24 13:52:57,b'@muzoora_ikras Happy Birthday my dear'
1176492917726351360,2019-09-24 13:45:44,"b'If you are in a relationship but abandon your man, we the children of God will locate him and make happy. The aband\xe2\x80\xa6 https://t.co/YgYk6kAcnc'"
1176491967259336704,2019-09-24 13:41:57,"b""RT @AyebareSolomon1: @Snduhukire thanks for telling him the colors, but you didn't tell him the order \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#MrsPogba https://t.co/TzmN60So\xe2\x80\xa6"""
1176491815031246848,2019-09-24 13:41:21,b'You will realize most of the worst things that you have probably experienced were from those who came to you as fri\xe2\x80\xa6 https://t.co/KkPp7dmsAW'
1176491542665728001,2019-09-24 13:40:16,b'RT @BritaniaUganda: Do you struggle to eat enough fruits on a daily basis? #SplashKachupa has got you covered with the orange flavour that\xe2\x80\xa6'
1176478911867305985,2019-09-24 12:50:05,"b'RT @cbemeka: So my DM is flooded with questions like who are you?? Let me tell you. My name is Bareija Collins Magyezi, a Mukiga by tribe.\xe2\x80\xa6'"
1176476426247331840,2019-09-24 12:40:12,"b""RT @AndrewOmuge30: We're left with just 4 days to the biggest #UgFifaMaestro in town. Make a group of 5 gamers &amp; register with @UgFifaM/ @K\xe2\x80\xa6"""
1176470208543940608,2019-09-24 12:15:30,"b'RT @omwiisiki: Under that mask, you can have all the confidence to kiss your crush...\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c come try it out this 31st of October at Mango Groov\xe2\x80\xa6'"
1176466175242514432,2019-09-24 11:59:28,b'RT @DryHarrison: We love removing stains and bringing your treasured garments back to their best appearance. \n\nYou can reach us on 07014125\xe2\x80\xa6'
1176461472869888000,2019-09-24 11:40:47,b'@balaug01 @256travelogue @Klaking_1 @this_z_v @Ronnie_Atuhaire @AndrewOmuge30 @omwiisiki @dbinea @NatGeoTravel @Icy_sonie @francesmary145 \xf0\x9f\x98\x82'
1176459940887715842,2019-09-24 11:34:42,"b""RT @256travelogue: What's the most adventurous thing you have ever done on a trip? \n\nShare with us below\n\n#easterntravelogue #TravelTuesday\xe2\x80\xa6"""
1176455248447229955,2019-09-24 11:16:03,"b""RT @cbemeka: We're back. It's the Hot Cruise Show on @hot100_ug (100.9) FM from 2-6pm with Me and @tumusiimeUg Don't let your afternoon be\xe2\x80\xa6"""
1176442295723466752,2019-09-24 10:24:35,"b""It's not early to say we shall have a happy Halloween night. Come 31st October #SoireeHalloweenParty https://t.co/0BI097z8gV"""
1176440776227786753,2019-09-24 10:18:32,"b""Some of us who can't come up with a pun-based outfit, it\xe2\x80\x99s Halloween day 31st October at Mango Groove. Perfect for\xe2\x80\xa6 https://t.co/KJ0dZCD5Pu"""
1176439900427706368,2019-09-24 10:15:04,b'Perfect song for the #SoireeHalloweenParty \xf0\x9f\x98\x85\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe https://t.co/Q5ZMUYIiRf'
1176439093154242560,2019-09-24 10:11:51,b'Are you excited about the coming Halloween party? Do you plan to watch the horrors all night long or listen to some\xe2\x80\xa6 https://t.co/Sw4dQ33uMp'
1176438161867759616,2019-09-24 10:08:09,"b""I can't wait to see how some people's skins will scare the hell out of us! \xf0\x9f\x98\x82 Personally, I am appearing as a Ghost!\xe2\x80\xa6 https://t.co/xwYM4Ejg0z"""
1176437049085321216,2019-09-24 10:03:44,b'@Fatontwit07 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82Before we get done! Can I cause more trouble?'
1176436968638619648,2019-09-24 10:03:25,"b'RT @Fatontwit07: @RitaStyles20 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,  why do you have to do me like that?  In fact we are done for life.'"
1176436555868770304,2019-09-24 10:01:46,"b""RT @EddiePages: Guys I'm looking for a place where they sell masks \nI need to attend the #SoireeHalloweenParty this October \nAny recommenda\xe2\x80\xa6"""
1176436531982229504,2019-09-24 10:01:41,"b'RT @cbemeka: Why did the vampire fail to eat Taylor Swift? Coz she had ""bad blood"" We\'ve got many Draculas and on 31st October, we\'ll see t\xe2\x80\xa6'"
1176435740261138432,2019-09-24 09:58:32,"b""For those that know about Halloween! Do you know Bloody Mary!! One of those that still scare me now. I haven't real\xe2\x80\xa6 https://t.co/SxY11FEBWd"""
1176435084544610304,2019-09-24 09:55:55,"b""It's not a Halloween party if there's no music \xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe The fact that there are so many songs with a lot of spookiness\xe2\x80\xa6 https://t.co/fpzJPVvL2r"""
1176434356946112518,2019-09-24 09:53:02,b'Do you enjoy the real suspenseful music that is naturally cranked up with a notch and cool sound effects. Come enjo\xe2\x80\xa6 https://t.co/x4wta2E4gx'
1176433220537262080,2019-09-24 09:48:31,"b'There are so many songs with a lot of spookiness to it, Be readdyyyyy for October 31st at Mango Groove!! The FOMO s\xe2\x80\xa6 https://t.co/slhfBoyBl8'"
1176428868678377473,2019-09-24 09:31:13,"b'I understand Halloween is the theme of the #SoireeHalloweenParty but my personal subtheme is Ghostsss! Ghost Bae, I\xe2\x80\xa6 https://t.co/CLKe57hRnX'"
1176423848620806145,2019-09-24 09:11:17,b'@Fatontwit07 I will tell these guys i helped you photoshop yourself over there.....'
1176420740096233472,2019-09-24 08:58:55,b'@Fatontwit07 What a lie!'
1176420596978200577,2019-09-24 08:58:21,"b'RT @Fatontwit07: Fun fact: the Eiffel Tower and Margaret Thatcher share the same nickname - La Dame de Fer (""The Iron Lady""). https://t.co/\xe2\x80\xa6'"
1176420481374838784,2019-09-24 08:57:54,"b'RT @AndrewOmuge30: You can still catch ""Kony Order From Above"" movie with a friend at century cinemax as low as 20k Ugx, let\'s support our\xe2\x80\xa6'"
1176414543674847232,2019-09-24 08:34:18,"b'@UgandaAbroad @PeruthVanessa96 @ErnestWanyama You are like to late to ask that, we moved on.'"
1176413966148546569,2019-09-24 08:32:00,b'@easy_guy2 I got u'
1176413761290362880,2019-09-24 08:31:12,"b""RT @AndrewOmuge30: You're looking for the best gaming hub around town, well @KenoGameParlour Is always ready &amp; available to serve you with\xe2\x80\xa6"""
1176413716348362752,2019-09-24 08:31:01,b'RT @shylose: @RitaStyles20 Turn up the volume a little bit \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd'
1176413538497257472,2019-09-24 08:30:18,"b'RT @gera_mangeni: Are you worried about Today, Well worry not much. \nDMs, are available. \nGood morning @RitaStyles20, @ETrwenai, @256travel\xe2\x80\xa6'"
1176413181075513345,2019-09-24 08:28:53,b'RT @nanahphinah10: @RitaStyles20 Let it be as u have asked. Amen.'
1176371312866017280,2019-09-24 05:42:31,"b""RT @kadobamosesUG: Sometimes you have to put on a fake smile on and just pretend it never happened. It's not giving up, it's growing up! ht\xe2\x80\xa6"""
1176371192120430592,2019-09-24 05:42:02,"b""RT @Ronnie_Atuhaire: Good Morning World\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n\nSpecial greetings to those that don't pay OTT\xf0\x9f\x98\x8a\xf0\x9f\x98\x8b\xf0\x9f\x98\x8e"""
1176209297027600384,2019-09-23 18:58:43,b'RT @omwiisiki: Did you know that celebrating Halloween is a tradition? Well come see it happen this 31st of October at Mango Groove Bugolob\xe2\x80\xa6'
