id,created_at,text
1176522724627365893,2019-09-24 15:44:10,b'Don\xe2\x80\x99t buy her things that will hurt you if she leaves https://t.co/ackpprs6cx'
1176522284946907136,2019-09-24 15:42:26,"b'Secure the bag fam, doesn\xe2\x80\x99t matter how\nJust secure the bag'"
1176502229714505728,2019-09-24 14:22:44,b'@mCkeiee thanks for getting this to my timeline'
1176453039466655746,2019-09-24 11:07:16,b'Deep down you want to go sell fat cakes or tomatoes but your ego doesn\xe2\x80\x99t allow you even though you\xe2\x80\x99re starving beca\xe2\x80\xa6 https://t.co/SKITX8ih8g'
1176452221338341376,2019-09-24 11:04:01,b'Remeber those days when having a watch that lights used to be the thing?'
1176444922657935360,2019-09-24 10:35:01,b'RT @KiteFlixx: Silence \xf0\x9f\x91\x8a https://t.co/qt97lcpcsa'
1176406934783746049,2019-09-24 08:04:04,"b'my pants getting tighter each day, the squats are working \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x95\xba \ngoodbye skinny legs \xf0\x9f\x91\x8b'"
1176395067302514688,2019-09-24 07:16:55,b'@HustleKing01 Life isn\xe2\x80\x99t tangible?'
1176393448951336960,2019-09-24 07:10:29,b'Life https://t.co/h7Ry0BlyjS'
1176392490968072192,2019-09-24 07:06:40,b'RT @alexnsobya: Happy birthday @PeterAteenyi live longer for more wonders \xf0\x9f\x98\x8a https://t.co/LNGiG1kTjp'
1176386647488958465,2019-09-24 06:43:27,b'which App has the most unemployed people ?'
1176379728606965760,2019-09-24 06:15:58,b'RT @_thatniggaced: Cashier : your total is $110.25\n\n My girlfriend: here baby https://t.co/LRhxH1x4IU'
1176348258656038917,2019-09-24 04:10:55,"b'RT @GaryLineker: Stick to anything but football. Ronaldo is a wonderful footballer, but Messi\xe2\x80\x99s numbers this year are superior. His play is\xe2\x80\xa6'"
1176339316697698306,2019-09-24 03:35:23,b'RT @ArabMulas: looks like me when I still have homework https://t.co/jLbjtod5DH'
