id,created_at,text
1176542291059757063,2019-09-24 17:01:55,"b'RT @ndagijerichie: At only 400k visit Chobe lodge this weekend. Enjoy the beautiful place, Spot the beautiful wildlife and feel the awesome\xe2\x80\xa6'"
1176542225456672776,2019-09-24 17:01:40,b'When Twitter starts boring you &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;'
1176535273158713346,2019-09-24 16:34:02,b'How did we get so far gone\xf0\x9f\x98\x93'
1176533963315302403,2019-09-24 16:28:50,b'@_mikekato \xf0\x9f\x98\x82'
1176530809542643717,2019-09-24 16:16:18,b'@brendah_ape \xe2\x9d\xa4'
1176528948907388928,2019-09-24 16:08:54,"b'RT @sotrixbax: Happening now, the launch of the #UgTravelMonth at Prunes https://t.co/y4SgZhOmxv'"
1176528787044995077,2019-09-24 16:08:16,"b'RT @SamaEmme: Have you been to Brovad Ssese?? Yes it is in Uganda. Before going to Maldives, first appreciate the beautiful places within.\xe2\x80\xa6'"
1176528649941655552,2019-09-24 16:07:43,b'@brendah_ape  happy birthday dear'
1176525631540137986,2019-09-24 15:55:44,b'RT @benj_amin11: It lasted for only two months \xf0\x9f\x99\x88\xf0\x9f\x98\x82 https://t.co/apR8SNcmZk'
1176525621524144128,2019-09-24 15:55:41,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/CyelIf8ljs'
1176512943518887937,2019-09-24 15:05:18,b'RT @ronnie_olanya: If she comfortably takes the first sip of Bondo without closing her eyes \n\nThat\xe2\x80\x99s a man https://t.co/H3UZ2IU3KB'
1176512920420802560,2019-09-24 15:05:13,b'@ronnie_olanya Ah ah\xf0\x9f\x98\x82'
1176512579495235586,2019-09-24 15:03:52,b'Leave us\xf0\x9f\x98\x82 https://t.co/I8WBrUM1ED'
1176510120659955713,2019-09-24 14:54:05,b'@ImmanuelOloo Attee'
1176509377194405888,2019-09-24 14:51:08,"b'RT @Ugaman01: I know you are a busy person but do not forget to work out \xf0\x9f\x8f\x8b\xef\xb8\x8f\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f. Keep fit, keep healthy. #Fitness  https://t.co/m8Yg7vH6fE'"
1176509308412006401,2019-09-24 14:50:52,b'@ImmanuelOloo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176508333857095686,2019-09-24 14:46:59,b'@ImmanuelOloo Just for the pictures'
1176507200870789121,2019-09-24 14:42:29,b'@ImmanuelOloo \xf0\x9f\x98\x82yes'
1176506029829492738,2019-09-24 14:37:50,b'@RitaStyles20 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176505998577721344,2019-09-24 14:37:43,"b'RT @RitaStyles20: If you are in a relationship but abandon your man, we the children of God will locate him and make happy. The abandoned b\xe2\x80\xa6'"
