id,created_at,text
1176516696976351233,2019-09-24 15:20:13,"b'RT @GoatRacesKla: The event of the year is around the corner and will be featuring all kinds of attendees; young, old and in-between \xf0\x9f\x98\x81 Tick\xe2\x80\xa6'"
1176516595088265216,2019-09-24 15:19:49,b'RT @digitaldidan: Imagine @KFCinUganda chicken had soup. There wouldn\xe2\x80\x99t be any left in this piece bambi. \n#KFCShellMakindye https://t.co/Ho\xe2\x80\xa6'
1176492708845760512,2019-09-24 13:44:54,b'RT @adoa_ernest: Party After party on the 12th of October at the @GoatRacesKla.\n\nMr @bigtrilkaiza agenda tukuba ekivulu because this is the\xe2\x80\xa6'
1176491759976755200,2019-09-24 13:41:08,b'@legendary_qt_ Banange \xf0\x9f\x98\x82'
1176491740833964032,2019-09-24 13:41:03,b'RT @legendary_qt_: When you brag how you can go 4 rounds but 10 is her min and in her mind she is like look at this one ... https://t.co/tf\xe2\x80\xa6'
1176459992091758593,2019-09-24 11:34:54,b'RT @tuskermaltug: Lead the TML goatee to the finish line and win a ticket to #GoatRacesKla. First one to find the right entry point wins. L\xe2\x80\xa6'
1176459984663699456,2019-09-24 11:34:52,b'@tuskermaltug @GoatRacesKla 3'
1176459833068929024,2019-09-24 11:34:16,b'RT @PirateMulwana: Him: So you see...\n\nHer: \xe2\x80\x9cYe guva di wanno nze neelile KFC yange\xf0\x9f\x99\x84\xe2\x80\x9d\n#KFCShellMakindye https://t.co/6tukNjgzKW'
1176448522947833862,2019-09-24 10:49:19,b'@kabderrick @bigtrilkaiza @Lydiahjazmine @spekeresort @Kabira_Club @GoatRacesKla @I_am_raheem \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1176448496624439296,2019-09-24 10:49:13,"b""RT @kabderrick: @bigtrilkaiza and @Lydiahjazmine join the already \xf0\x9f\x94\xa5 list of artists performing at this year's edition of the #GoatRacesKla\xe2\x80\xa6"""
1176448425103122432,2019-09-24 10:48:56,b'RT @praise_atukunda: Imagine having Big Tril and Jazmine at the same party\xf0\x9f\x98\xa6\xf0\x9f\x94\xa5\nWell it\xe2\x80\x99s happening on 12th October at the biggest event of th\xe2\x80\xa6'
1176447735458910209,2019-09-24 10:46:12,b'Imagine having Big Tril and Jazmine at the same party\xf0\x9f\x98\xa6\xf0\x9f\x94\xa5\nWell it\xe2\x80\x99s happening on 12th October at the biggest event of\xe2\x80\xa6 https://t.co/V9uleAzHEm'
1176447026055323648,2019-09-24 10:43:22,"b""RT @GoatRacesKla: We're excited to bring you Mr. 'Parte after Parte' himself at the event of the year! Have you goat your ticket yet? \xf0\x9f\x8e\xbc\xf0\x9f\x90\x90\n#G\xe2\x80\xa6"""
1176446993012580352,2019-09-24 10:43:15,b'RT @praise_atukunda: The beautiful Star @Lydiahjazmine will be performing at the #GoatRacesKla this Year\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x98\xa9 I can\xe2\x80\x99t wait to listen to her a\xe2\x80\xa6'
1176446851136065537,2019-09-24 10:42:41,b'RT @legendary_qt_: Mr Parte After Parte will be there so be  there too we Parte . 12th October happening at Speke Resort Munyonyo. Entrance\xe2\x80\xa6'
1176446757158477824,2019-09-24 10:42:18,b'The #GoatRacesKla is Happening on 12th October\xe2\x98\xba\xef\xb8\x8f  \nY\xe2\x80\x99all should be ready\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1176446439200874497,2019-09-24 10:41:03,b'The beautiful Star @Lydiahjazmine will be performing at the #GoatRacesKla this Year\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x98\xa9 I can\xe2\x80\x99t wait to listen to he\xe2\x80\xa6 https://t.co/0s4Mt9vaVZ'
1176445365328982017,2019-09-24 10:36:47,b'RT @adoa_ernest: The line up for the #GoatRacesKla is just so epic and amazing.\n\nTogether with the #TMLLounge that will be set up at the ve\xe2\x80\xa6'
1176443471051313152,2019-09-24 10:29:15,b'@Lynduhdorcus @tuskermaltug @adoa_ernest I can\xe2\x80\x99t wait to pose for that \xf0\x9f\x98\xa9#TMLLounge'
1176443326289141761,2019-09-24 10:28:40,b'RT @Lynduhdorcus: My people the Goat race is going down on 12th October. I cant keep calm because i have my outfit set for this day.\xf0\x9f\x98\xa9\xf0\x9f\x94\xa5\nPlus\xe2\x80\xa6'
1176442462438604800,2019-09-24 10:25:14,"b'RT @Le_Berz: Its lunch break, go by #KFCShellMakindye for an amazing dinning experience. https://t.co/A5yB8Er2VE'"
1176439542351577088,2019-09-24 10:13:38,b'@Lynduhdorcus @PirateMulwana \xf0\x9f\x98\x82 good feeding'
1176439502459551744,2019-09-24 10:13:29,b'RT @Lynduhdorcus: My office pants no longer fit me.\xf0\x9f\x98\xa9'
1176439447673548800,2019-09-24 10:13:16,b'@Le_Berz @VivoEnergyUg @KFCinUganda @EDriciru @solomonkibz @AtimCharlotte @NandiraJessy \xf0\x9f\x98\x82'
1176439366266368001,2019-09-24 10:12:56,"b'RT @Le_Berz: ""How much is a Rolex?""\n\nHer: ""I don\'t know, I eat at KFC""\n#KFCShellMakindye https://t.co/UBkAAJzrBA'"
1176436361160732674,2019-09-24 10:01:00,b'RT @praise_atukunda: The best part about the KFC Chicken is that you can easily share it with your friends. Check out the new #KFCShellMaki\xe2\x80\xa6'
1176434581450477569,2019-09-24 09:53:55,b'@Am_MartinHarris \xf0\x9f\x98\x82'
1176434554258763776,2019-09-24 09:53:49,b'@AtimCharlotte \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176434385903636480,2019-09-24 09:53:09,b'RT @Lynduhdorcus: Its Lunch time.\xf0\x9f\x98\x8a\nLook no further #KFCShellMakindye is now open and operating. You can now pass by and get that finger lic\xe2\x80\xa6'
1176434339581759494,2019-09-24 09:52:58,b'@AtimCharlotte @Le_Berz @Lynduhdorcus @solomonkibz @VivoEnergyUg Atimmm\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176434305448521728,2019-09-24 09:52:50,b'RT @AtimCharlotte: How fathers pose with their daughters after buying them food. #KFCShellMakindye https://t.co/01nuFGzF1K'
1176434294933340160,2019-09-24 09:52:47,b'RT @Lynduhdorcus: Its finger licking where by you even feel the sweetness in your soul\xf0\x9f\x98\x8a. KFC chicken will never leave you the same.\xe2\x98\xba\nAll yo\xe2\x80\xa6'
1176434278516895744,2019-09-24 09:52:43,"b'RT @NandiraJessy: When Weasel @RadioandWeasel said ""Guwooma nga ekindazi"" he meant guwooma nga #KFCShellMakindye drum sticks\xf0\x9f\x98\x8b https://t.co/\xe2\x80\xa6'"
1176434265430614017,2019-09-24 09:52:40,b'@AtimCharlotte @Le_Berz @Lynduhdorcus @EDriciru @VivoEnergyUg @KFCinUganda @solomonkibz Dead \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1176434228902400000,2019-09-24 09:52:31,b'RT @AtimCharlotte: When you\xe2\x80\x99re pretending to listen to his jazz but your heart is on the food. #KFCShellMakindye https://t.co/wZFMATgijN'
1176434195280908290,2019-09-24 09:52:23,b'RT @Lynduhdorcus: How do you spend your alone time?\n\nMe: i eat KFC.\xf0\x9f\x98\x9d\n#KFCShellMakindye https://t.co/PhUsi8w1R6'
1176434182760927233,2019-09-24 09:52:20,b'RT @NandiraJessy: The big Don @DonaldMasete2 &amp; his hajjatis paid #KFCShellMakindye a visit Money after Money \xf0\x9f\x98\x8c https://t.co/IX2Ypmu8vo'
1176434129283555335,2019-09-24 09:52:08,b'@Lynduhdorcus @VivoEnergyUg @EDriciru @KFCinUganda \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 that\xe2\x80\x99s true \xf0\x9f\x98\xa9\n#KFCShellMakindye'
1176434058324299779,2019-09-24 09:51:51,b'RT @Lynduhdorcus: When my @praise_atukunda asks me for my piece of chicken.\n\nMe: \n#KFCShellMakindye https://t.co/YLfpjSSZv9'
1176433812588433410,2019-09-24 09:50:52,b'RT @NandiraJessy: Did you know that a 10+10 Bucket including a 2litre soda at #KFCShellMakindye is only &amp; only 85k? https://t.co/BQFYoutrtT'
1176433789570027520,2019-09-24 09:50:47,b'RT @AtimCharlotte: Kale because of #KFCShellMakindye Pirate now looks like the owner of those downtown buildings \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dDJPlZmQAV'
1176429693966397440,2019-09-24 09:34:30,b'RT @praise_atukunda: You have a lot of friends you want to meet and hang out with? Why not meet at the new KFC Makindye \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x94\xa5#KFCShellMakindy\xe2\x80\xa6'
1176429683170299905,2019-09-24 09:34:28,"b'RT @solomonkibz: You can only know what KFC meant by its ""finger lickin\' Good"" is by heading straight to #kfcShellMakindye https://t.co/DyJ\xe2\x80\xa6'"
1176429652618948610,2019-09-24 09:34:20,b'RT @praise_atukunda: So this is what we mean when we say the chicken is finger Licking \xf0\x9f\x98\xad\xf0\x9f\x98\xa9\xf0\x9f\x8d\x97\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n #KFCShellMakindye https://t.co/Ypv7uMNGHa'
1176429645438365696,2019-09-24 09:34:19,b'@AtimCharlotte The forehead is goals \xf0\x9f\x98\x82\xf0\x9f\x94\xa5'
1176429527448391680,2019-09-24 09:33:51,b'You have a lot of friends you want to meet and hang out with? Why not meet at the new KFC Makindye \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x94\xa5\xe2\x80\xa6 https://t.co/kDJd7ngH0e'
1176428586334609415,2019-09-24 09:30:06,b'RT @AtimCharlotte: The new #KFCShellMakindye location is a very cool place for a lunch date with friends. Did I mention it has two floors\xf0\x9f\x98\x8c\xe2\x80\xa6'
1176428574032703488,2019-09-24 09:30:03,b'So this is what we mean when we say the chicken is finger Licking \xf0\x9f\x98\xad\xf0\x9f\x98\xa9\xf0\x9f\x8d\x97\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n #KFCShellMakindye https://t.co/Ypv7uMNGHa'
1176427996133167105,2019-09-24 09:27:45,b'@Le_Berz @VivoEnergyUg @KFCinUganda @EDriciru @AtimCharlotte @solomonkibz \xf0\x9f\x98\x82'
1176427972972228608,2019-09-24 09:27:40,b'RT @Le_Berz: Is it true that pastors go to KFC to touch breast?\n#KFCShellMakindye https://t.co/rqEUl7uQJy'
1176427661507403779,2019-09-24 09:26:26,b'RT @praise_atukunda: Tasty and good chicken is good for the body\xe2\x98\xba\xef\xb8\x8f Everybody needs to try out @KFCinUganda\xf0\x9f\x94\xa5 Check out the new #KFCShellMaki\xe2\x80\xa6'
1176427652808417280,2019-09-24 09:26:24,"b'RT @AtimCharlotte: Only that car keys are missing \xf0\x9f\x98\x82\xf0\x9f\x98\x82but this is how people brag after buying food from KFC,they make sure the bag is seen.\xe2\x80\xa6'"
1176427608675893249,2019-09-24 09:26:13,b'If you\xe2\x80\x99re looking for quality service and very tasty chicken. Well check out @KFCinUganda \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x94\xa5 Don\xe2\x80\x99t forget to visit\xe2\x80\xa6 https://t.co/fMGezNxtMF'
1176426098357391360,2019-09-24 09:20:13,b'RT @AtimCharlotte: It\xe2\x80\x99s lunch \xf0\x9f\x91\x80where are you taking your tastebuds? I recommend #KFCShellMakindye if you\xe2\x80\x99re in the area\xf0\x9f\x98\x84 https://t.co/j6giR\xe2\x80\xa6'
1176426072180711429,2019-09-24 09:20:07,b'RT @solomonkibz: #KFCShellMakindye ambience is extremely beautiful....you all should go and see it for yourselves\xf0\x9f\x98\x8b\xf0\x9f\x94\xa5 https://t.co/kZN1ytFvDl'
